,vectors,case_id,advocates,win_side,votes_side,convo_id,term,docket_id,mq_score
778,[],1959_13,"{'fred_n_acker': {'side': 3, 'role': 'inferred'}, 'ralph_s_spritzer': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 0}",13751,1959,13,0.335
779,[],1959_13,"{'fred_n_acker': {'side': 3, 'role': 'inferred'}, 'ralph_s_spritzer': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 0}",13800,1959,13,0.335
780,[],1959_376,"{'philip_elman': {'side': 1, 'role': 'inferred'}, 'sidney_g_kusworm_sr': {'side': 0, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 0, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 1}",13832,1959,376,0.335
781,[],1959_359,"{'wayne_g_barnett': {'side': 3, 'role': 'inferred'}, 'joseph_a_maun': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 0, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 1}",13809,1959,359,0.335
782,[],1959_359,"{'wayne_g_barnett': {'side': 3, 'role': 'inferred'}, 'joseph_a_maun': {'side': 3, 'role': 'inferred'}}",1,"{'j__john_m_harlan2': 1, 'j__hugo_l_black': 1, 'j__william_o_douglas': 0, 'j__potter_stewart': 1, 'j__william_j_brennan_jr': 1, 'j__earl_warren': 1, 'j__tom_c_clark': 1, 'j__felix_frankfurter': 1, 'j__charles_e_whittaker': 1}",13859,1959,359,0.335
783,[],1959_418,"{'j_r_goldthwaite_jr': {'side': 3, 'role': 'inferred'}, 'dominick_l_manoli': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13889,1959,418,0.335
784,[],1959_418,"{'j_r_goldthwaite_jr': {'side': 3, 'role': 'inferred'}, 'dominick_l_manoli': {'side': 3, 'role': 'inferred'}}",0,"{'j__john_m_harlan2': 0, 'j__hugo_l_black': 0, 'j__william_o_douglas': 0, 'j__potter_stewart': 0, 'j__william_j_brennan_jr': 0, 'j__earl_warren': 0, 'j__tom_c_clark': 0, 'j__felix_frankfurter': 0, 'j__charles_e_whittaker': 0}",13925,1959,418,0.335
785,[],1959_229,"{'eberhard_p_deutsch': {'side': 3, 'role': 'inferred'}, 'george_b_matthews': {'side': 3, 'role': 'inferred'}}",0,"{'j__earl_warren': 0, 'j__hugo_l_black': 0, 'j__felix_frankfurter': 0, 'j__william_o_douglas': 1, 'j__tom_c_clark': 0, 'j__john_m_harlan2': 0, 'j__william_j_brennan_jr': 0, 'j__charles_e_whittaker': 1, 'j__potter_stewart': 0}",13763,1959,229,0.335
786,[],1959_229,"{'eberhard_p_deutsch': {'side': 3, 'role': 'inferred'}, 'george_b_matthews': {'side': 3, 'role': 'inferred'}}",0,"{'j__earl_warren': 0, 'j__hugo_l_black': 0, 'j__felix_frankfurter': 0, 'j__william_o_douglas': 1, 'j__tom_c_clark': 0, 'j__john_m_harlan2': 0, 'j__william_j_brennan_jr': 0, 'j__charles_e_whittaker': 1, 'j__potter_stewart': 0}",13869,1959,229,0.335
787,[],1959_436,"{'edwin_a_rothschild': {'side': 1, 'role': 'inferred'}, 'howard_a_heffron': {'side': 3, 'role': 'inferred'}}",1,"{'j__earl_warren': 0, 'j__hugo_l_black': 0, 'j__felix_frankfurter': 0, 'j__william_o_douglas': 1, 'j__tom_c_clark': 0, 'j__john_m_harlan2': 1, 'j__william_j_brennan_jr': 1, 'j__charles_e_whittaker': 1, 'j__potter_stewart': 1}",13806,1959,436,0.335
788,[],1959_53,"{'henry_e_howell_jr': {'side': 1, 'role': 'inferred'}, 'thomas_r_mcnamara': {'side': 0, 'role': 'inferred'}}",1,"{'j__earl_warren': 1, 'j__hugo_l_black': 1, 'j__felix_frankfurter': 0, 'j__william_o_douglas': 1, 'j__tom_c_clark': 1, 'j__john_m_harlan2': 0, 'j__william_j_brennan_jr': 1, 'j__charles_e_whittaker': 0, 'j__potter_stewart': 1}",13865,1959,53,0.335
